,Name,Radius,Mass,Distance
0,0.000−26.74,0.03,0.005−0.05,0.003−0.74
1,Sun,Vega,Arcturus,Canopus
2,,α Lyr,α Boo,α Car
3,0.000015813,0025,0037,0310
4,G2,A0,K2,A9
5,1,2.2,1.1,15
6,1,2.7,26,71
7,1,50,170,"13,500"
